URL,Size,OutLinks,Type
https://www.yahoo.com/news,515666,202,text/html
https://www.yahoo.com/news/venezuela-distribute-food-poor-colombians-amid-aid-tension-193338861.html,327305,61,text/html
https://www.yahoo.com/news/barack-obama-dined-ayesha-curry-205259078.html,335446,78,text/html
https://www.yahoo.com/news/museum-fallen-border-patrol-agents-132842951.html,310415,57,text/html
https://www.yahoo.com/news/topics,346111,115,text/html
https://www.yahoo.com/news/tagged/through-her-eyes,361725,87,text/html
https://www.yahoo.com/news/sen-rick-scott-thanks-president-150128532.html,307672,57,text/html
https://www.yahoo.com/news/fighters-face-surrender-death-syrian-kurd-led-force-111932010.html,339047,58,text/html
https://www.yahoo.com/news/former-acting-fbi-director-believes-trump-russian-asset-092901080.html,350571,83,text/html
https://www.yahoo.com/news/amazon-wants-50-shipments-carbon-113749449.html,317003,64,text/html
https://www.yahoo.com/news/originals/,432657,121,text/html
https://www.yahoo.com/news/alabama-editor-called-lynchings-klan-quit-senator-says-152350995.html,349063,69,text/html
https://www.yahoo.com/news/roman-catholic-church-leaders-gather-044701785.html,310318,55,text/html
https://www.yahoo.com/news/alabama-newspaper-calls-resurgence-kkk-125305535.html,308260,55,text/html
https://www.yahoo.com/news/11-old-student-arrested-florida-070312023.html,325289,61,text/html
https://www.yahoo.com/news/politics/,451409,130,text/html
https://www.yahoo.com/news/putin-well-target-usa-washington-deploys-missiles-europe-105004730.html?.tsrc=jtc_news_index,337381,61,text/html
https://www.yahoo.com/news/jurors-theyre-impasse-prison-riot-charges-180656183.html,318468,61,text/html
https://www.yahoo.com/news/police-tip-smollett-2-brothers-together-elevator-180116729.html,331904,62,text/html
https://www.yahoo.com/news/missing-arguments-first-time-25-years-justice-ruth-183509872.html,324914,63,text/html
https://www.yahoo.com/news/un-urges-india-pakistan-immediate-steps-defuse-tensions-182654029.html,324990,56,text/html
https://www.yahoo.com/news/ruth-bader-ginsburg-returns-supreme-040252444.html,325045,63,text/html
https://www.yahoo.com/news/us/,422300,118,text/html
https://www.yahoo.com/news/huawei-founder-says-huawei-cfo-arrest-politically-motivated-032402726--finance.html,328910,61,text/html
https://www.yahoo.com/news/china-data-leak-exposes-mass-surveillance-xinjiang-103612161.html,325559,56,text/html
https://www.yahoo.com/news/live-updates-hurricane-matthew-hammers-toward-florida-east-coast-220908522.html,317516,60,text/html
https://www.yahoo.com/news/video-emerges-of-donald-trump-saying-shockingly-lewd-things-in-2005-205256001.html,364661,75,text/html
https://www.yahoo.com/news/billy-bush-very-sorry-for-comments-made-on-leaked-audio-with-donald-trump-233216068.html,335871,67,text/html
https://www.yahoo.com/news/democratic-loopholes-white-house-blames-border-crisis-151819764.html,378855,79,text/html
https://www.yahoo.com/news/trump-republican-lawmakers-stoke-migrant-caravan-conspiracy-theories-224959187.html,381641,84,text/html
https://www.yahoo.com/news/nationwide-protests-held-support-mueller-slideshow-wp-165346499.html,386029,64,text/html
https://www.yahoo.com/news/trump-derides-muellers-obstruction-probe-setup-trap-125455128.html,351059,77,text/html
https://www.yahoo.com/news/note-caution-year-woman-politics-090044012.html,357881,81,text/html
https://www.yahoo.com/news/can-democrat-crack-trump-era-election-code-140002498.html,435540,89,text/html
https://www.yahoo.com/news/new-york-race-spark-new-trump-investigation-131610480.html,393137,79,text/html
https://www.yahoo.com/news/northern-california-wildfires-forces-thousands-slideshow-wp-141258983.html,395559,64,text/html
https://www.yahoo.com/news/tagged/midterm_mania,332859,77,text/html
https://www.yahoo.com/news/topics/twitter,517337,64,text/html
https://www.yahoo.com/news/trump-calls-omarosa-dog-123756117.html,344003,78,text/html
https://www.yahoo.com/news/-slideshow-wp-131249470.html,367878,64,text/html
https://www.yahoo.com/news/devastated-florida-recovers-hurricane-michael-slideshow-wp-132820213.html,397525,64,text/html
https://www.yahoo.com/news/social-worker-left-surprise-11m-childrens-charities-064826001.html,332428,62,text/html
https://www.yahoo.com/news/waffle-house-tennessee-will-donate-100-percent-proceeds-month-victims-families-151451916.html,336965,72,text/html
https://www.yahoo.com/news/photos-year-trumpland-100004820.html,474385,98,text/html
https://www.yahoo.com/news/second-migrant-childs-death-custody-raises-alarm-doctors-nielsen-tours-border-233528492.html,393919,80,text/html
https://www.yahoo.com/news/intelligence-outlook-2019-cant-get-worse-100036962.html,333331,63,text/html
https://www.yahoo.com/news/michael-3-parents-first-open-adoption-babies-come-age-100043575.html,566461,91,text/html
https://www.yahoo.com/news/dwight-d-eisenhower-facing-soviets-military-industrial-complex-090033368.html,391643,87,text/html
https://www.yahoo.com/news/gerald-ford-wrong-thing-right-reasons-090018903.html,395391,87,text/html
https://www.yahoo.com/news/jimmy-carter-staking-reputation-dream-mideast-peace-090051751.html,398694,87,text/html
https://www.yahoo.com/news/george-w-bush-standing-tolerance-9-11-090054730.html,380814,87,text/html
